iter	Accuracy	MultiClass
0	0.5580083953	1.082435317
1	0.5708036211	1.068005567
2	0.5667324129	1.05542827
3	0.5719415364	1.043224569
4	0.5707530471	1.033315509
5	0.5730288778	1.023706118
6	0.573863349	1.01470504
7	0.5743438022	1.006795813
8	0.5733576089	0.9999131338
9	0.573736914	0.9935690398
10	0.5740150711	0.9873223865
11	0.5740656451	0.9818046662
12	0.5742173671	0.9767355219
13	0.5755575785	0.9721314558
14	0.5757598746	0.9677990496
15	0.5760886057	0.9638072985
16	0.5759368836	0.9603726454
17	0.5763161887	0.9570034295
18	0.5768219289	0.9540625697
19	0.577100086	0.9509313098
20	0.5767966419	0.9482864619
21	0.5777575482	0.9458431078
22	0.5778081222	0.9435897616
23	0.5779851312	0.9413947233
24	0.5782632883	0.9394418192
25	0.5785667324	0.9375445879
26	0.5782885753	0.9357986292
27	0.5785414454	0.9343075105
28	0.5788448895	0.932741131
29	0.5786173064	0.9314683216
30	0.5786678804	0.9301473719
31	0.5788701765	0.9289773401
32	0.5788954635	0.927908579
33	0.5786425934	0.9266200464
34	0.5787943155	0.9255564145
35	0.5787943155	0.9244251953
36	0.5788196025	0.9234647233
37	0.5787943155	0.9225958271
38	0.5786425934	0.9218769973
39	0.5787437415	0.920879844
40	0.5788448895	0.9201109745
41	0.5787943155	0.919238768
42	0.5788954635	0.9185852056
43	0.5789966115	0.917812121
44	0.5793000556	0.9170787738
45	0.5792494816	0.9165590605
46	0.5792747686	0.9160497047
47	0.5792494816	0.9154509362
48	0.5791230466	0.9149330253
49	0.5792747686	0.914413872
50	0.5792494816	0.9139400082
51	0.5792241946	0.9135180233
52	0.5793000556	0.9129912939
53	0.5795782127	0.9125027961
54	0.5796540737	0.912056501
55	0.5799322308	0.9115744373
56	0.580412684	0.9111991925
57	0.580488545	0.9108086146
58	0.580513832	0.9103723923
59	0.580539119	0.9099179744
60	0.5807414151	0.9095712266
61	0.5807161281	0.9092366114
62	0.580539119	0.9088866306
63	0.5807414151	0.9086052622
64	0.5807161281	0.9083288079
65	0.5808931371	0.9080589825
66	0.5807919891	0.9076360774
67	0.5809437111	0.9073459622
68	0.5808425631	0.9070965865
69	0.5810448592	0.9068344104
70	0.5809942851	0.9065111269
71	0.5809437111	0.9062447935
72	0.5809184241	0.9060709857
73	0.5811712942	0.9058311143
74	0.5811712942	0.9056271033
75	0.5812977292	0.9054625441
76	0.5809437111	0.9052443751
77	0.5810195721	0.9049478176
78	0.5809689981	0.904796549
79	0.5810701462	0.9045515519
80	0.5810448592	0.90436413
81	0.5813483032	0.9041687289
82	0.5811965812	0.9040067802
83	0.5813988773	0.9037628966
84	0.5815000253	0.9035742274
85	0.5814494513	0.9033862973
86	0.5814747383	0.9031453237
87	0.5815000253	0.9030113289
88	0.5816011733	0.9028005659
89	0.5814747383	0.9026383739
90	0.5814747383	0.9024291962
91	0.5814494513	0.9022792323
92	0.5814241643	0.9021967131
93	0.5814747383	0.9020676162
94	0.5817023213	0.9019008465
95	0.5816770343	0.9016829895
96	0.5821069135	0.9015016663
97	0.5820816265	0.901343198
98	0.5819046174	0.9012210343
99	0.5821827745	0.9010613468
100	0.5823092095	0.9008624099
101	0.5822586355	0.900740036
102	0.5821574875	0.9006081583
103	0.5822333485	0.900505855
104	0.5822333485	0.9003996884
105	0.5823850706	0.9002380154
106	0.5822333485	0.900100693
107	0.5823850706	0.8999634144
108	0.5824862186	0.8998352789
109	0.5826632276	0.8996102019
110	0.5826632276	0.8994394087
111	0.5825115056	0.8993204455
112	0.5825115056	0.8992192459
113	0.5824609316	0.8990994361
114	0.5824356446	0.8989570634
115	0.5824103576	0.8987869326
116	0.5825367926	0.898660026
117	0.5825873666	0.8984788617
118	0.5825367926	0.898400899
119	0.5826379406	0.8982822371
120	0.5826632276	0.8981673018
121	0.5826632276	0.8979944462
122	0.5826126536	0.8978564712
123	0.5827643757	0.8976835871
124	0.5828908107	0.8975467097
125	0.5828149497	0.8974181109
126	0.5829160977	0.8974104279
127	0.5827896627	0.8972758732
128	0.5832195418	0.897139152
129	0.5832195418	0.8969961117
130	0.5833459768	0.8969180302
131	0.5833206898	0.8967810505
132	0.5834471249	0.8966933342
133	0.5833206898	0.8966203127
134	0.5832701158	0.896514384
135	0.5833712638	0.8963666598
136	0.5834976989	0.8962203214
137	0.5836999949	0.8960751726
138	0.583750569	0.8959282137
139	0.583750569	0.8958212213
140	0.583801143	0.8956529868
141	0.583801143	0.8956522173
142	0.5841298741	0.8955340011
143	0.5841551611	0.8954379922
144	0.584003439	0.8952967201
145	0.584054013	0.8951139658
146	0.5841804481	0.8950623997
147	0.5840793001	0.894920135
148	0.5842310221	0.8948621333
149	0.5842057351	0.8947633467
150	0.5843574571	0.8947026621
151	0.5842310221	0.8946346176
152	0.5844080312	0.8944976541
153	0.5842057351	0.894389624
154	0.5842563091	0.8943042312
155	0.5844586052	0.8941665824
156	0.5845597532	0.8940964314
157	0.5845850402	0.8939936544
158	0.5847114752	0.8939318667
159	0.5847620493	0.8938295944
160	0.5847620493	0.8937217638
161	0.5845344662	0.8935555202
162	0.5846609012	0.8934399436
163	0.5847873363	0.8933387436
164	0.5848126233	0.8932505829
165	0.5847620493	0.8931609079
166	0.5848884843	0.8930586567
167	0.5848631973	0.8929655889
168	0.5849896323	0.8928695776
169	0.5852172154	0.8927368059
170	0.5851666414	0.8926386672
171	0.5850149193	0.8926064308
172	0.5851919284	0.8925224142
173	0.5850654933	0.8924425318
174	0.5851919284	0.8923495626
175	0.5854447985	0.8922013589
176	0.5855459465	0.8920989075
177	0.5854700855	0.8920212995
178	0.5855712335	0.891918748
179	0.5855712335	0.8918613541
180	0.5857735296	0.8917396336
181	0.5857229555	0.8915659525
182	0.5856218075	0.8914512147
183	0.5856723815	0.8913123567
184	0.5856723815	0.8912080341
185	0.5856976685	0.8911658315
186	0.5856976685	0.8911162337
187	0.5857482426	0.8910258988
188	0.5856218075	0.8909798263
189	0.5856723815	0.89077925
190	0.5856470945	0.8906944459
191	0.5857482426	0.890632818
192	0.5857988166	0.8905738346
193	0.5859505386	0.8904702181
194	0.5859758256	0.8903784162
195	0.5859758256	0.8903021498
196	0.5859758256	0.8901826955
197	0.5858241036	0.890075681
198	0.5858493906	0.8899838662
199	0.5858241036	0.8898226722
200	0.5861022607	0.8897302247
201	0.5858241036	0.8896437059
202	0.5858493906	0.8895668368
203	0.5859505386	0.8895103461
204	0.5859252516	0.8894276661
205	0.5858241036	0.8892914223
206	0.5858746776	0.8891902335
207	0.5860769737	0.8891129602
208	0.5859758256	0.8890293617
209	0.5861275477	0.8888840612
210	0.5862034087	0.8887648322
211	0.5861528347	0.8886849345
212	0.5862539827	0.8886198225
213	0.5861528347	0.8885643671
214	0.5862792697	0.8884782988
215	0.5864057047	0.888387063
216	0.5864562788	0.8882991782
217	0.5864309918	0.8882171877
218	0.5866332878	0.8881083997
219	0.5868355839	0.8880411413
220	0.5866585748	0.8879796348
221	0.5867597229	0.887895099
222	0.5869873059	0.8878009702
223	0.5869367319	0.8877183286
224	0.5869114449	0.8876238141
225	0.5869873059	0.8875540934
226	0.587240176	0.8874650805
227	0.587113741	0.8873517789
228	0.587164315	0.8872369096
229	0.587265463	0.8871495742
230	0.587240176	0.8870126645
231	0.587189602	0.8869445989
232	0.587391898	0.8868833335
233	0.58729075	0.8867495151
234	0.5874930461	0.8866717872
235	0.587341324	0.8865744012
236	0.5874677591	0.88648658
237	0.5876447681	0.8863768757
238	0.5876447681	0.8863080869
239	0.5876953421	0.8862392772
240	0.5876447681	0.8861561279
241	0.5876447681	0.8860745819
242	0.5877964902	0.8859552324
243	0.5878217772	0.8858710521
244	0.5881505083	0.8857143232
245	0.5881505083	0.8855978763
246	0.5880240732	0.8855115647
247	0.5881505083	0.8853883123
248	0.5882263693	0.8852922085
249	0.5883275173	0.8851663803
250	0.5884286654	0.8850424125
251	0.5885298134	0.8849216514
252	0.5886562484	0.8848458214
253	0.5888332575	0.8847853583
254	0.5890102665	0.884701662
255	0.5889849795	0.8846410947
256	0.5889849795	0.8845991779
257	0.5889344055	0.8845144158
258	0.5889849795	0.8843886529
259	0.5887573964	0.8842854376
260	0.5890102665	0.8841655345
261	0.5892631366	0.8840211265
262	0.5892378496	0.8839096603
263	0.5893137106	0.883802407
264	0.5891367016	0.8836789665
265	0.5892125626	0.8835872501
266	0.5892378496	0.8834808316
267	0.5891619886	0.8833784276
268	0.5892125626	0.8832832506
269	0.5891872756	0.8831676797
270	0.5891619886	0.8830924811
271	0.5891619886	0.8830338013
272	0.5891619886	0.8829277016
273	0.5893642846	0.8828513327
274	0.5895665807	0.8826874227
275	0.5895665807	0.8825842426
276	0.5891872756	0.8824847644
277	0.5893137106	0.882381075
278	0.5893389976	0.8823202604
279	0.5894907197	0.8822344155
280	0.5896424417	0.8821158499
281	0.5895160067	0.8820248629
282	0.5895918677	0.8819345475
283	0.5895918677	0.8818840404
284	0.5896171547	0.8818010562
285	0.5897183027	0.8817198184
286	0.5897435897	0.8816579798
287	0.5899458858	0.8815548586
288	0.5899964598	0.8814444263
289	0.5898447378	0.8813129924
290	0.5897688768	0.8812329368
291	0.5898194508	0.8811174791
292	0.5900217468	0.8810400714
293	0.5902240429	0.8809317798
294	0.5901987559	0.8808769715
295	0.5904263389	0.8807705286
296	0.590451626	0.8807000964
297	0.590476913	0.8806012003
298	0.5905022	0.8805191583
299	0.5903757649	0.8804676884
300	0.5903757649	0.880398126
301	0.590552774	0.8802874921
302	0.5905022	0.8801231615
303	0.590704496	0.8800283598
304	0.590704496	0.8799471536
305	0.5908056441	0.8797874129
306	0.5908562181	0.8797061732
307	0.5909320791	0.8796088677
308	0.5910585141	0.879484824
309	0.5911849492	0.8793743177
310	0.5910079401	0.8792689788
