iter	Passed	Remaining
0	231	115367
1	304	75845
2	391	64840
3	466	57872
4	566	56071
5	668	55073
6	759	53500
7	839	51646
8	930	50751
9	1028	50407
10	1127	50141
11	1229	50001
12	1345	50391
13	1457	50579
14	1557	50362
15	1655	50089
16	1753	49826
17	1863	49910
18	1956	49531
19	2041	48998
20	2157	49207
21	2244	48759
22	2343	48601
23	2454	48685
24	2569	48818
25	2676	48795
26	2783	48770
27	2901	48914
28	2995	48646
29	3097	48521
30	3187	48218
31	3276	47917
32	3361	47572
33	3461	47440
34	3548	47147
35	3641	46934
36	3777	47264
37	3891	47314
38	3995	47234
39	4112	47293
40	4227	47328
41	4331	47233
42	4425	47030
43	4520	46851
44	4614	46660
45	4709	46480
46	4796	46225
47	4889	46039
48	4971	45758
49	5071	45646
50	5166	45489
51	5261	45326
52	5352	45138
53	5436	44903
54	5520	44666
55	5605	44441
56	5687	44203
57	5776	44021
58	5863	43826
59	5957	43691
60	6057	43592
61	6139	43374
62	6230	43217
63	6325	43093
64	6414	42927
65	6495	42714
66	6581	42532
67	6688	42488
68	6776	42328
69	6869	42199
70	6974	42140
71	7063	41986
72	7178	41987
73	7269	41850
74	7355	41678
75	7450	41567
76	7550	41480
77	7642	41350
78	7728	41185
79	7808	40996
80	7896	40847
81	7988	40721
82	8094	40666
83	8191	40565
84	8285	40454
85	8377	40326
86	8466	40191
87	8561	40085
88	8647	39932
89	8725	39747
90	8817	39632
91	8901	39476
92	8988	39338
93	9077	39207
94	9163	39065
95	9265	38993
96	9352	38856
97	9428	38675
98	9515	38541
99	9606	38426
100	9707	38348
101	9787	38189
102	9873	38055
103	9951	37893
104	10033	37743
105	10122	37625
106	10205	37484
107	10309	37419
108	10386	37256
109	10472	37128
110	10564	37022
111	10661	36932
112	10740	36784
113	10826	36659
114	10906	36513
115	10994	36395
116	11081	36274
117	11179	36190
118	11261	36057
119	11350	35942
120	11442	35841
121	11538	35749
122	11627	35637
123	11728	35564
124	11812	35436
125	11905	35340
126	11934	35051
127	12020	34933
128	12109	34825
129	12187	34687
130	12270	34562
131	12351	34435
132	12439	34326
133	12535	34238
134	12627	34140
135	12718	34039
136	12816	33960
137	12908	33862
138	13003	33771
139	13097	33679
140	13212	33639
141	13263	33437
142	13366	33369
143	13458	33271
144	13566	33214
145	13659	33120
146	13760	33044
147	13849	32939
148	13929	32814
149	14016	32704
150	14101	32591
151	14186	32479
152	14279	32385
153	14376	32299
154	14467	32201
155	14572	32133
156	14676	32065
157	14761	31952
158	14861	31873
159	14944	31757
160	15036	31660
161	15133	31574
162	15238	31504
163	15331	31410
164	15437	31342
165	15520	31228
166	15623	31152
167	15724	31074
168	15816	30977
169	15902	30869
170	15983	30751
171	16058	30622
172	16151	30529
173	16237	30422
174	16319	30308
175	16398	30188
176	16489	30091
177	16573	29980
178	16657	29871
179	16758	29793
180	16837	29674
181	16926	29574
182	17015	29475
183	17103	29374
184	17181	29254
185	17270	29155
186	17376	29084
187	17459	28975
188	17550	28879
189	17646	28790
190	17728	28680
191	17812	28574
192	17892	28460
193	17980	28361
194	18072	28267
195	18156	28160
196	18244	28061
197	18342	27976
198	18425	27869
199	18518	27778
200	18608	27681
201	18712	27605
202	18807	27515
203	18904	27429
204	18988	27325
205	19075	27224
206	19166	27129
207	19251	27025
208	19353	26946
209	19457	26869
210	19544	26770
211	19629	26666
212	19711	26559
213	19795	26456
214	19878	26350
215	19975	26264
216	20052	26150
217	20141	26054
218	20227	25953
219	20309	25848
220	20400	25754
221	20490	25659
222	20570	25552
223	20645	25438
224	20743	25352
225	20825	25249
226	20906	25143
227	20994	25046
228	21082	24948
229	21160	24840
230	21239	24733
231	21324	24632
232	21400	24522
233	21485	24423
234	21563	24316
235	21643	24211
236	21733	24117
237	21816	24016
238	21890	23905
239	21962	23793
240	22037	23683
241	22120	23583
242	22213	23493
243	22300	23397
244	22386	23300
245	22473	23204
246	22564	23112
247	22647	23012
248	22729	22912
249	22803	22803
250	22876	22694
251	22961	22596
252	23041	22494
253	23136	22407
254	23206	22296
255	23293	22202
256	23369	22096
257	23454	21999
258	23536	21900
259	23632	21814
260	23734	21734
261	23819	21637
262	23900	21537
263	23979	21435
264	24070	21345
265	24156	21250
266	24225	21140
267	24310	21044
268	24395	20949
269	24472	20846
270	24557	20751
271	24642	20656
272	24730	20563
273	24834	20484
274	24933	20399
275	25018	20305
276	25111	20215
277	25193	20118
278	25300	20040
279	25408	19964
280	25514	19884
281	25609	19797
282	25709	19713
283	25797	19620
284	25880	19524
285	25977	19437
286	26089	19362
287	26188	19277
288	26288	19193
289	26378	19101
290	26473	19013
291	26572	18928
292	26664	18838
293	26754	18746
294	26849	18658
295	26951	18574
296	27036	18479
297	27137	18395
298	27242	18313
299	27331	18220
300	27426	18132
301	27511	18037
302	27603	17946
303	27696	17857
304	27797	17771
305	27895	17685
306	28011	17609
307	28146	17546
308	28306	17496
309	28406	17410
310	28554	17353
311	28697	17292
312	28794	17202
313	28886	17111
314	28988	17025
315	29086	16936
316	29195	16854
317	29293	16765
318	29380	16670
319	29478	16581
320	29592	16501
321	29690	16412
322	29789	16324
323	29895	16239
324	29993	16150
325	30096	16063
326	30196	15975
327	30303	15890
328	30404	15803
329	30501	15712
330	30603	15625
331	30702	15536
332	30796	15444
333	30905	15360
334	31002	15270
335	31093	15176
336	31183	15082
337	31269	14987
338	31351	14889
339	31451	14800
340	31545	14708
341	31642	14618
342	31731	14524
343	31821	14430
344	31913	14337
345	31996	14241
346	32072	14141
347	32147	14041
348	32230	13944
349	32317	13850
350	32410	13758
351	32510	13669
352	32609	13579
353	32715	13493
354	32819	13405
355	32910	13312
356	33005	13220
357	33084	13122
358	33170	13027
359	33243	12928
360	33334	12834
361	33419	12739
362	33523	12652
363	33620	12561
364	33713	12469
365	33813	12379
366	33894	12283
367	33991	12192
368	34096	12104
369	34182	12010
370	34285	11921
371	34390	11833
372	34488	11742
373	34584	11651
