feature,outcome_importance
elo_diff,26.324621216868113
tournament,9.384079327253492
concede_rate_diff,7.701089498047257
year,7.021603814689946
team_2_elo,6.347280651394956
team_2_goal_rate,5.509598734812973
neutral,5.435163155261128
team_2_concede_rate,5.317753466412384
team_1_concede_rate,5.2532862674704095
team_1_goal_rate,4.677929189917114
team_1_elo,4.270503695304335
goal_rate_diff,3.8602367228615924
team_2_recent_form,3.2844106708720613
recent_form_diff,2.853217467013838
team_1_recent_form,2.759226121820416
team_1_fifa_points,0.0
fifa_rank_diff,0.0
team_2_fifa_rank,0.0
team_1_fifa_rank,0.0
fifa_points_diff,0.0
team_2_fifa_points,0.0
team_1_confederation,0.0
team_2_confederation,0.0
