iter	MAE	RMSE
0	1.003627938	1.409521094
1	0.9959260579	1.398543903
2	0.9879823757	1.387451439
3	0.9813950255	1.378209006
4	0.9747647822	1.369576159
5	0.967748313	1.360688125
6	0.9614944408	1.35274202
7	0.9559126917	1.345887938
8	0.9508438626	1.339405446
9	0.946800316	1.332967735
10	0.9437345614	1.327518216
11	0.9404461977	1.321963048
12	0.9380146071	1.316853704
13	0.9359217326	1.312215673
14	0.9340320487	1.307870931
15	0.9321271706	1.30362086
16	0.9309152879	1.299844067
17	0.9294627449	1.296302934
18	0.927881534	1.29269257
19	0.9265187073	1.289560746
20	0.9253955092	1.286522811
21	0.9240683061	1.283375362
22	0.9231530448	1.280663986
23	0.9222901512	1.278178256
24	0.9213640524	1.27603161
25	0.920563056	1.274116842
26	0.9198382628	1.271812623
27	0.9190189164	1.26986609
28	0.9183566092	1.267918049
29	0.9177635028	1.266278086
30	0.9171506047	1.264652849
31	0.9164865341	1.263106577
32	0.9157996231	1.261512686
33	0.9152771361	1.26019131
34	0.9146665095	1.258855692
35	0.9141711851	1.257686636
36	0.9137238598	1.25613288
37	0.9133678166	1.254842171
38	0.9129333928	1.253652721
39	0.912549429	1.252637357
40	0.9123782685	1.251939608
41	0.9120094355	1.250908299
42	0.9117513999	1.250063925
43	0.9113297021	1.248869119
44	0.9110153308	1.248001753
45	0.9106686128	1.246999403
46	0.9103728396	1.246257875
47	0.9100751179	1.245363986
48	0.9096797791	1.244481707
49	0.9094138426	1.243849091
50	0.9090931917	1.243175465
51	0.9087556063	1.242274045
52	0.9085714582	1.241518257
53	0.9083206344	1.241025044
54	0.9079473572	1.240464777
55	0.9076472719	1.23978844
56	0.9073862169	1.239225714
57	0.9071389618	1.238496091
58	0.9067944944	1.23776919
59	0.9065381142	1.237288749
60	0.9063753221	1.236958902
61	0.9061590916	1.236492172
62	0.9059532431	1.235980772
63	0.9057323676	1.235541906
64	0.9054841573	1.23511255
65	0.9052991451	1.234674867
66	0.9050729783	1.234392358
67	0.9047421442	1.233887972
68	0.9043397466	1.233222361
69	0.9041330402	1.23270866
70	0.9039921297	1.232414284
71	0.9037893492	1.231791135
72	0.9035225655	1.231472165
73	0.903290755	1.230935701
74	0.9030777091	1.230626613
75	0.9028921142	1.230198152
76	0.9027529732	1.229854405
77	0.9025910465	1.229565669
78	0.9022763863	1.229113606
79	0.9020721725	1.228612982
80	0.9018874984	1.228266766
81	0.9016309841	1.227748794
82	0.9015137218	1.227411701
83	0.9013364379	1.226834789
84	0.9010541507	1.22629149
85	0.9009134023	1.225982202
86	0.9007024273	1.225441906
87	0.9005499549	1.225203487
88	0.9002994428	1.224726526
89	0.8999953045	1.224139334
90	0.8998805443	1.223837591
91	0.8997829795	1.223614918
92	0.8996037906	1.223375379
93	0.8994814846	1.223151208
94	0.8993320934	1.222861705
95	0.8992331076	1.222676677
96	0.8989612	1.222103683
97	0.8988509111	1.22197118
98	0.8987603463	1.221794324
99	0.8985090703	1.22114676
100	0.89837156	1.220842852
101	0.898243705	1.220672617
102	0.898071411	1.220439067
103	0.8978468867	1.219922255
104	0.8978055438	1.219716756
105	0.897646616	1.219436361
106	0.8975200405	1.219305395
107	0.8973836033	1.218930599
108	0.8972669364	1.218594435
109	0.8971932775	1.218422689
110	0.8969686023	1.218008668
111	0.8966838141	1.217593894
112	0.8964814184	1.217186959
113	0.8963107901	1.216983234
114	0.8962140121	1.216814234
115	0.8961032518	1.216626392
116	0.8959576711	1.216321064
117	0.8958651461	1.216074199
