iter	Passed	Remaining
0	58	29122
1	120	30017
2	195	32359
3	256	31756
4	339	33619
5	432	35601
6	506	35674
7	590	36339
8	674	36824
9	755	37032
10	825	36718
11	893	36322
12	968	36278
13	1043	36220
14	1116	36107
15	1191	36045
16	1253	35620
17	1315	35223
18	1377	34864
19	1450	34812
20	1510	34444
21	1573	34186
22	1653	34298
23	1714	34000
24	1805	34303
25	1890	34468
26	1973	34570
27	2048	34529
28	2121	34451
29	2190	34322
30	2249	34040
31	2319	33924
32	2389	33814
33	2458	33694
34	2518	33465
35	2587	33350
36	2654	33212
37	2740	33313
38	2818	33318
39	2886	33196
40	2961	33148
41	3044	33203
42	3126	33230
43	3209	33262
44	3267	33035
45	3332	32891
46	3405	32827
47	3465	32636
48	3534	32535
49	3611	32502
50	3685	32445
51	3749	32306
52	3843	32413
53	3933	32487
54	4012	32467
55	4075	32310
56	4150	32254
57	4241	32321
58	4313	32238
59	4377	32104
60	4438	31944
61	4497	31772
62	4573	31721
63	4665	31786
64	4733	31678
65	4804	31593
66	4867	31456
67	4944	31415
68	5033	31442
69	5096	31309
70	5164	31202
71	5233	31112
72	5304	31030
73	5365	30889
74	5434	30793
75	5503	30706
76	5575	30630
77	5644	30537
78	5712	30444
79	5782	30355
80	5863	30331
81	5927	30214
82	5990	30095
83	6063	30028
84	6134	29952
85	6197	29835
86	6284	29834
87	6345	29708
88	6423	29661
89	6501	29616
90	6581	29579
91	6644	29466
92	6719	29408
93	6798	29362
94	6895	29394
95	6957	29280
96	7029	29204
97	7095	29106
98	7165	29022
99	7230	28920
100	7299	28837
101	7374	28775
102	7450	28716
103	7527	28662
104	7594	28569
105	7667	28499
106	7754	28481
107	7848	28487
108	7932	28456
109	8010	28401
110	8068	28274
111	8139	28197
112	8215	28137
113	8285	28054
114	8344	27934
115	8404	27821
116	8476	27748
117	8554	27693
118	8633	27640
119	8730	27647
120	8814	27608
121	8886	27533
122	8963	27472
123	9038	27407
124	9106	27319
125	9176	27237
126	9261	27202
127	9322	27093
128	9395	27022
129	9471	26958
130	9557	26921
131	9635	26862
132	9709	26793
133	9773	26693
134	9851	26634
135	9922	26558
136	9994	26482
137	10071	26418
138	10131	26311
139	10194	26215
140	10269	26147
141	10331	26047
142	10420	26015
143	10519	26007
144	10625	26013
145	10785	26152
146	10876	26117
147	11030	26234
148	11123	26203
149	11190	26110
150	11269	26045
151	11346	25978
152	11428	25920
153	11535	25917
154	11842	26359
155	12253	27021
156	12832	28035
157	13092	28338
158	13543	29047
159	13825	29379
160	14114	29719
161	14368	29977
162	14687	30366
163	14935	30598
164	15605	31682
165	15854	31899
166	16019	31943
167	16388	32386
168	16600	32514
169	16805	32622
170	16979	32668
171	17178	32759
172	17379	32849
173	17588	32953
174	17801	33059
175	17987	33113
176	18385	33550
177	18548	33553
178	18729	33587
179	18913	33623
180	19078	33625
181	19285	33695
182	19522	33817
183	19707	33845
184	19899	33883
185	20024	33804
186	20227	33855
187	20478	33985
188	20679	34028
189	20895	34092
190	21178	34263
191	21512	34509
192	21731	34568
193	21898	34541
194	22163	34665
195	22451	34822
196	22688	34896
197	22918	34956
198	23303	35247
199	23778	35667
200	23987	35682
201	24305	35856
202	24785	36262
203	25027	36314
204	25414	36572
205	25666	36630
206	26014	36822
207	26337	36973
208	26677	37144
209	26971	37246
210	27224	37289
211	27471	37319
212	27632	37231
213	27927	37323
214	28216	37402
215	28682	37711
216	28909	37702
217	29127	37678
218	29359	37670
219	29718	37823
220	30188	38111
221	30576	38288
222	30782	38236
223	31109	38331
224	31327	38289
225	31654	38377
226	32010	38497
227	32222	38441
228	32360	38295
229	32486	38136
230	32624	37991
231	32737	37816
232	32849	37643
233	32954	37461
234	33057	37277
235	33216	37157
236	33334	36991
237	33515	36895
238	33717	36820
239	33933	36760
240	34136	36686
241	34375	36647
242	35165	37191
243	35871	37635
244	36519	38010
245	36870	38069
246	37425	38334
247	37964	38577
248	38312	38619
249	38579	38579
250	38818	38508
251	39173	38551
252	39592	38653
253	40337	39067
254	41138	39525
255	42595	40598
256	44334	41919
257	45972	43121
258	46897	43637
259	47583	43923
260	48070	44018
261	48443	44006
262	48699	43885
263	48908	43721
264	49368	43779
265	49818	43825
266	50422	44001
267	51105	44240
268	51790	44473
269	52174	44444
270	52652	44491
271	53076	44490
272	53521	44503
273	53878	44440
274	54079	44246
275	54229	44012
276	54350	43754
277	54478	43504
278	54588	43240
279	54709	42986
280	54815	42720
281	54967	42492
282	55117	42262
283	55230	42006
284	55409	41800
285	55579	41587
286	55719	41353
287	55820	41089
288	55927	40833
289	56065	40599
290	56193	40358
291	56325	40122
292	56517	39928
293	56698	39727
294	56877	39525
295	57024	39300
296	57152	39064
297	57338	38866
298	57545	38684
299	57755	38503
300	58006	38349
301	58195	38154
302	58398	37968
303	58580	37769
304	58720	37542
305	58888	37334
306	59025	37107
307	59172	36886
308	59371	36698
309	59574	36513
310	59752	36312
311	59955	36127
312	60109	35912
313	60307	35723
314	60504	35534
315	60671	35327
316	60915	35165
317	61185	35017
318	61383	34828
319	61548	34620
320	61692	34401
321	61814	34170
322	61951	33948
323	62105	33736
324	62319	33556
325	62445	33329
326	62558	33096
327	62684	32871
328	62802	32642
329	62929	32418
330	63077	32205
331	63246	32004
332	63386	31788
333	63531	31575
334	63681	31365
335	63841	31160
336	63959	30935
337	64064	30705
338	64186	30483
339	64319	30267
340	64472	30062
341	64685	29884
342	64862	29689
343	64989	29471
344	65130	29261
345	65298	29063
346	65449	28858
347	65559	28635
348	65704	28428
349	65812	28205
350	65928	27986
351	66090	27787
352	66228	27579
353	66339	27360
354	66476	27152
355	66607	26942
356	66736	26732
357	66859	26519
358	67001	26315
359	67157	26116
360	67323	25922
361	67487	25727
362	67620	25520
363	67768	25319
364	67942	25129
365	68072	24922
366	68208	24718
367	68356	24519
368	68539	24332
369	68688	24133
370	68849	23939
371	69019	23748
372	69175	23552
373	69300	23347
374	69406	23135
375	69541	22933
376	69669	22730
377	69783	22522
378	69911	22320
379	70053	22122
380	70186	21921
381	70293	21713
382	70397	21505
383	70512	21300
384	70676	21111
385	70805	20911
386	70951	20717
387	71098	20523
388	71204	20317
389	71315	20114
390	71442	19916
391	71585	19722
392	71739	19532
393	71869	19335
394	72044	19151
395	72203	18962
396	72340	18768
397	72506	18582
398	72667	18394
399	72809	18202
400	72946	18009
401	73111	17823
402	73228	17625
403	73329	17424
404	73466	17232
405	73635	17048
406	73751	16852
407	73952	16675
408	74101	16487
409	74224	16293
410	74340	16098
411	74462	15904
412	74609	15716
413	74812	15540
414	74964	15354
415	75105	15165
416	75256	14979
417	75407	14792
418	75502	14596
419	75634	14406
420	75773	14218
421	75898	14028
422	76033	13840
423	76135	13646
424	76253	13456
425	76372	13266
426	76507	13079
427	76641	12892
428	76784	12707
429	76903	12519
430	77057	12336
431	77169	12147
432	77274	11956
433	77390	11769
434	77519	11583
435	77654	11398
436	77800	11216
437	77903	11027
438	78023	10841
439	78137	10655
440	78269	10471
441	78355	10281
442	78476	10097
443	78561	9908
444	78656	9721
445	78775	9537
446	78909	9356
447	79025	9172
448	79143	8989
449	79240	8804
450	79355	8621
451	79512	8443
452	79652	8264
453	79788	8084
454	79918	7903
455	80037	7722
456	80163	7542
457	80265	7360
458	80417	7183
459	80567	7005
460	80676	6825
461	80787	6644
462	80929	6467
463	81058	6289
464	81173	6109
465	81338	5934
466	81459	5756
467	81555	5576
468	81665	5397
469	81786	5220
470	81954	5046
471	82086	4869
472	82233	4694
473	82327	4515
474	82520	4343
475	82655	4167
476	82766	3990
477	82899	3815
478	83031	3640
479	83146	3464
480	83281	3289
481	83409	3114
482	83517	2939
483	83646	2765
484	83767	2590
485	83900	2416
486	84030	2243
487	84222	2071
488	84367	1897
489	84565	1725
490	84727	1553
491	84831	1379
492	84949	1206
493	85112	1033
494	85281	861
495	85465	689
496	85617	516
497	85735	344
498	85882	172
499	86035	0
