id_team,country_code,team,gender,rank,previous_rank,ranking_move,points,previous_points,rated_matches,confederation,movement
43922,ARG,Argentina,Men,1,1,0,1889.062265,1877.266571,61,CONMEBOL,0
43946,FRA,France,Men,2,3,1,1887.107625,1870.696162,59,UEFA,1
43969,ESP,Spain,Men,3,2,-1,1856.033671,1874.710778,58,UEFA,-1
43942,ENG,England,Men,4,4,0,1847.677458,1828.021903,59,UEFA,0
43924,BRA,Brazil,Men,5,6,1,1772.008748,1765.856297,57,CONMEBOL,1
43872,MAR,Morocco,Men,6,7,1,1769.977009,1755.100232,89,CAF,1
43960,NED,Netherlands,Men,7,8,1,1764.39693,1753.571899,59,UEFA,1
43948,GER,Germany,Men,8,10,2,1760.45539,1735.771984,57,UEFA,2
43963,POR,Portugal,Men,9,5,-4,1755.09361,1767.849031,58,UEFA,-4
43935,BEL,Belgium,Men,10,9,-1,1733.934577,1742.235945,55,UEFA,-1
43911,MEX,Mexico,Men,11,14,3,1721.782405,1687.481759,85,CONCACAF,3
43926,COL,Colombia,Men,12,13,1,1712.604162,1698.351858,58,CONMEBOL,1
43921,USA,USA,Men,13,17,4,1709.589988,1671.2341,77,CONCACAF,4
43954,ITA,Italy,Men,14,12,-2,1704.733836,1704.733836,53,UEFA,-2
43938,CRO,Croatia,Men,15,11,-4,1695.210017,1714.865572,58,UEFA,-4
43819,JPN,Japan,Men,16,18,2,1681.262054,1661.576187,66,AFC,2
43879,SEN,Senegal,Men,17,15,-2,1667.658416,1684.069879,87,CAF,-2
43930,URU,Uruguay,Men,18,16,-2,1661.949665,1673.068603,53,CONMEBOL,-2
43971,SUI,Switzerland,Men,19,19,0,1654.939343,1650.064179,58,UEFA,0
43941,DEN,Denmark,Men,20,21,1,1619.474248,1619.474248,52,UEFA,1
43934,AUT,Austria,Men,21,24,3,1612.855967,1597.404087,52,UEFA,3
43817,IRN,IR Iran,Men,22,20,-2,1605.121289,1619.58163,57,AFC,-2
43822,KOR,Korea Republic,Men,23,25,2,1591.749573,1591.630886,70,AFC,2
43876,NGA,Nigeria,Men,24,26,2,1585.017102,1585.017102,74,CAF,2
43976,AUS,Australia,Men,25,27,2,1584.552251,1579.34264,57,AFC,2
43961,NOR,Norway,Men,26,31,5,1577.184771,1557.437664,49,UEFA,5
43899,CAN,Canada,Men,27,30,3,1572.133422,1559.479301,64,CONCACAF,3
43855,EGY,Egypt,Men,28,29,1,1570.668614,1562.367246,75,CAF,1
43843,ALG,Algeria,Men,29,28,-1,1559.237599,1571.033293,83,CAF,-1
43927,ECU,Ecuador,Men,30,23,-7,1558.352141,1598.51582,61,CONMEBOL,-7
43854,CIV,Côte d'Ivoire,Men,31,33,2,1551.713177,1540.869533,70,CAF,2
43972,TUR,Türkiye,Men,32,22,-10,1550.125244,1605.730921,55,UEFA,-10
43973,UKR,Ukraine,Men,33,32,-1,1549.287173,1549.287173,47,UEFA,-1
43965,RUS,Russia,Men,34,35,1,1529.602834,1529.602834,31,UEFA,1
43962,POL,Poland,Men,35,36,1,1526.183359,1526.183359,54,UEFA,1
43970,SWE,Sweden,Men,36,38,2,1517.993468,1509.785392,53,UEFA,2
43928,PAR,Paraguay,Men,37,41,4,1517.389867,1505.349689,51,CONMEBOL,4
43974,WAL,Wales,Men,38,37,-1,1516.946629,1516.946629,50,UEFA,-1
43950,HUN,Hungary,Men,39,39,0,1506.393663,1506.393663,51,UEFA,0
43914,PAN,Panama,Men,40,34,-6,1505.328905,1539.155509,69,CONCACAF,-6
43967,SCO,Scotland,Men,41,42,1,1504.407608,1503.34027,53,UEFA,1
1902465,SRB,Serbia,Men,42,43,1,1502.133186,1502.133186,54,UEFA,1
20014,COD,Congo DR,Men,43,46,3,1487.183182,1474.427761,64,CAF,3
43995,CZE,Czechia,Men,44,40,-4,1481.485998,1505.737856,53,UEFA,-4
43849,CMR,Cameroon,Men,45,44,-1,1481.235245,1481.235245,63,CAF,-1
44002,SVK,Slovakia,Men,46,47,1,1473.660727,1473.660727,52,UEFA,1
43949,GRE,Greece,Men,47,48,1,1473.187305,1473.187305,48,UEFA,1
43931,VEN,Venezuela,Men,48,49,1,1469.177672,1469.177672,52,CONMEBOL,1
43925,CHI,Chile,Men,49,51,2,1458.196344,1458.196344,54,CONMEBOL,2
43929,PER,Peru,Men,50,52,2,1457.692964,1457.692964,53,CONMEBOL,2
43901,CRC,Costa Rica,Men,51,53,2,1456.029055,1456.029055,61,CONCACAF,2
43964,ROU,Romania,Men,52,54,2,1455.894657,1455.894657,52,UEFA,2
43869,MLI,Mali,Men,53,55,2,1455.586659,1455.586659,61,CAF,2
44005,UZB,Uzbekistan,Men,54,50,-4,1444.481764,1458.734068,54,AFC,-4
43953,IRL,Republic of Ireland,Men,55,58,3,1441.096901,1441.096901,49,UEFA,3
43968,SVN,Slovenia,Men,56,59,3,1441.087158,1441.087158,52,UEFA,3
43834,QAT,Qatar,Men,57,56,-1,1438.817575,1450.307729,73,AFC,-1
43888,TUN,Tunisia,Men,58,45,-13,1437.686114,1476.405088,72,CAF,-13
43835,KSA,Saudi Arabia,Men,59,61,2,1435.000167,1423.881229,77,AFC,2
43818,IRQ,Iraq,Men,60,57,-3,1426.532498,1446.279605,67,AFC,-3
43883,RSA,South Africa,Men,61,60,-1,1418.211807,1428.379282,76,CAF,-1
43847,BFA,Burkina Faso,Men,62,62,0,1406.990543,1406.990543,67,CAF,0
43850,CPV,Cabo Verde,Men,63,67,4,1389.785087,1371.10798,56,CAF,4
44037,BIH,Bosnia and Herzegovina,Men,64,64,0,1381.17664,1387.215771,48,UEFA,0
43860,GHA,Ghana,Men,65,73,8,1380.707809,1346.881205,67,CAF,8
43909,HON,Honduras,Men,66,65,-1,1378.970301,1378.970301,61,CONCACAF,-1
43932,ALB,Albania,Men,67,66,-1,1376.033234,1376.033234,50,UEFA,-1
43820,JOR,Jordan,Men,68,63,-5,1372.286342,1387.738222,63,AFC,-5
43840,UAE,United Arab Emirates,Men,69,68,-1,1370.469434,1370.469434,62,AFC,-1
44000,MKD,North Macedonia,Men,70,69,-1,1369.159317,1369.159317,48,UEFA,-1
43952,NIR,Northern Ireland,Men,71,70,-1,1365.296485,1365.296485,46,UEFA,-1
43910,JAM,Jamaica,Men,72,71,-1,1357.840144,1357.840144,67,CONCACAF,-1
43947,GEO,Georgia,Men,73,72,-1,1355.261687,1355.261687,50,UEFA,-1
43951,ISL,Iceland,Men,74,74,0,1342.771961,1342.771961,57,UEFA,0
43945,FIN,Finland,Men,75,75,0,1341.922408,1341.922408,50,UEFA,0
43984,ISR,Israel,Men,76,76,0,1333.904007,1333.904007,44,UEFA,0
43923,BOL,Bolivia,Men,77,77,0,1325.995377,1325.995377,53,CONMEBOL,0
1942535,KOS,Kosovo,Men,78,78,0,1319.120924,1319.120924,47,UEFA,0
43831,OMA,Oman,Men,79,79,0,1306.901717,1306.901717,69,AFC,0
1903356,MNE,Montenegro,Men,80,80,0,1301.977191,1301.977191,48,UEFA,0
1895293,CUW,Curaçao,Men,81,82,1,1299.405719,1294.76909,38,CONCACAF,1
43861,GUI,Guinea,Men,82,81,-1,1295.598845,1295.598845,60,CAF,-1
43978,NZL,New Zealand,Men,83,85,2,1290.041403,1275.581062,48,OFC,2
43838,SYR,Syria,Men,84,84,0,1283.051902,1283.051902,50,AFC,0
43858,GAB,Gabon,Men,85,86,1,1272.508139,1272.508139,45,CAF,1
43936,BUL,Bulgaria,Men,86,87,1,1271.683325,1271.683325,48,UEFA,1
43908,HAI,Haiti,Men,87,83,-4,1271.000019,1293.096585,38,CONCACAF,-4
43844,ANG,Angola,Men,88,88,0,1265.575056,1265.575056,69,CAF,0
43889,UGA,Uganda,Men,89,89,0,1264.090591,1264.090591,58,CAF,0
43891,ZAM,Zambia,Men,90,90,0,1255.821846,1255.821846,61,CAF,0
43812,CHN,China PR,Men,91,91,0,1254.8091,1254.8091,47,AFC,0
43808,BHR,Bahrain,Men,92,92,0,1254.406799,1254.406799,63,AFC,0
43845,BEN,Benin,Men,93,93,0,1252.170944,1252.170944,48,CAF,0
43839,THA,Thailand,Men,94,94,0,1250.803064,1250.803064,72,AFC,0
43989,PLE,Palestine,Men,95,95,0,1243.713925,1243.713925,39,AFC,0
43937,BLR,Belarus,Men,96,96,0,1242.876029,1242.876029,48,UEFA,0
43906,GUA,Guatemala,Men,97,97,0,1238.74375,1238.74375,54,CONCACAF,0
43958,LUX,Luxembourg,Men,98,98,0,1232.81815,1232.81815,48,UEFA,0
43841,VIE,Vietnam,Men,99,99,0,1225.67943,1225.67943,59,AFC,0
43904,SLV,El Salvador,Men,100,100,0,1225.344607,1225.344607,55,CONCACAF,0
44003,TJK,Tajikistan,Men,101,101,0,1224.190098,1224.190098,46,AFC,0
43920,TRI,Trinidad and Tobago,Men,102,102,0,1219.58613,1219.58613,48,CONCACAF,0
43873,MOZ,Mozambique,Men,103,103,0,1218.616571,1218.616571,61,CAF,0
43867,MAD,Madagascar,Men,104,104,0,1202.689766,1202.689766,59,CAF,0
43856,EQG,Equatorial Guinea,Men,105,105,0,1195.197081,1195.197081,54,CAF,0
43999,KGZ,Kyrgyz Republic,Men,106,106,0,1192.157969,1192.157969,40,AFC,0
43933,ARM,Armenia,Men,107,107,0,1189.632762,1189.632762,47,UEFA,0
1896913,COM,Comoros,Men,108,108,0,1187.9109,1187.9109,62,CAF,0
43863,KEN,Kenya,Men,109,109,0,1185.076631,1185.076631,46,CAF,0
43866,LBY,Libya,Men,110,110,0,1182.081264,1182.081264,46,CAF,0
44027,KAZ,Kazakhstan,Men,111,111,0,1180.780449,1180.780449,49,UEFA,0
43886,TAN,Tanzania,Men,112,112,0,1180.267847,1180.267847,54,CAF,0
43870,MTN,Mauritania,Men,113,113,0,1176.680994,1176.680994,66,CAF,0
43875,NIG,Niger,Men,114,114,0,1175.332063,1175.332063,54,CAF,0
43825,LBN,Lebanon,Men,115,115,0,1172.215162,1172.215162,47,AFC,0
43859,GAM,The Gambia,Men,116,116,0,1159.637808,1159.637808,48,CAF,0
43884,SDN,Sudan,Men,117,117,0,1157.223901,1157.223901,61,CAF,0
43816,IDN,Indonesia,Men,118,118,0,1157.142651,1157.142651,66,AFC,0
43887,TOG,Togo,Men,119,119,0,1152.757527,1152.757527,42,CAF,0
43821,PRK,DPR Korea,Men,120,120,0,1151.052136,1151.052136,17,AFC,0
43874,NAM,Namibia,Men,121,121,0,1148.839695,1148.839695,45,CAF,0
43881,SLE,Sierra Leone,Men,122,122,0,1147.560535,1147.560535,43,CAF,0
43944,FRO,Faroe Islands,Men,123,123,0,1136.585036,1136.585036,47,UEFA,0
43939,CYP,Cyprus,Men,124,124,0,1133.247165,1133.247165,48,UEFA,0
43919,SUR,Suriname,Men,125,125,0,1132.425895,1132.425895,30,CONCACAF,0
43994,AZE,Azerbaijan,Men,126,126,0,1131.995112,1131.995112,47,UEFA,0
43943,EST,Estonia,Men,127,127,0,1130.63629,1130.63629,52,UEFA,0
43877,RWA,Rwanda,Men,128,128,0,1126.622275,1126.622275,40,CAF,0
43868,MWI,Malawi,Men,129,129,0,1122.053591,1122.053591,51,CAF,0
43892,ZIM,Zimbabwe,Men,130,130,0,1119.77695,1119.77695,39,CAF,0
43913,NCA,Nicaragua,Men,131,131,0,1114.634184,1114.634184,40,CONCACAF,0
43862,GNB,Guinea-Bissau,Men,132,132,0,1108.381553,1108.381553,48,CAF,0
