match_id,date,team_1,team_2,stage,group,host_city,host_country,stadium,venue,kickoff_time
1,2026-06-11,Mexico,South Africa,Group Stage,Group A,Mexico City,Mexico,Estadio Azteca,"Estadio Azteca, Mexico City, Mexico",15:00:00
2,2026-06-11,South Korea,Winner UEFA Playoff D,Group Stage,Group A,Guadalajara,Mexico,Estadio Akron,"Estadio Akron, Guadalajara, Mexico",22:00:00
3,2026-06-12,Canada,Winner UEFA Playoff A,Group Stage,Group B,Toronto,Canada,BMO Field,"BMO Field, Toronto, Canada",15:00:00
4,2026-06-12,United States,Paraguay,Group Stage,Group D,Los Angeles,USA,SoFi Stadium,"SoFi Stadium, Los Angeles, USA",21:00:00
5,2026-06-13,Qatar,Switzerland,Group Stage,Group B,San Francisco Bay Area,USA,Levi's Stadium,"Levi's Stadium, San Francisco Bay Area, USA",15:00:00
6,2026-06-13,Brazil,Morocco,Group Stage,Group C,New York/New Jersey,USA,MetLife Stadium,"MetLife Stadium, New York/New Jersey, USA",18:00:00
7,2026-06-13,Haiti,Scotland,Group Stage,Group C,Boston,USA,Gillette Stadium,"Gillette Stadium, Boston, USA",21:00:00
8,2026-06-14,Australia,Winner UEFA Playoff C,Group Stage,Group D,Vancouver,Canada,BC Place,"BC Place, Vancouver, Canada",00:00:00
9,2026-06-14,Germany,Curaçao,Group Stage,Group E,Houston,USA,NRG Stadium,"NRG Stadium, Houston, USA",13:00:00
10,2026-06-14,Netherlands,Japan,Group Stage,Group F,Dallas,USA,AT&T Stadium,"AT&T Stadium, Dallas, USA",16:00:00
11,2026-06-14,Ivory Coast,Ecuador,Group Stage,Group E,Philadelphia,USA,Lincoln Financial Field,"Lincoln Financial Field, Philadelphia, USA",19:00:00
12,2026-06-14,Winner UEFA Playoff B,Tunisia,Group Stage,Group F,Monterrey,Mexico,Estadio BBVA,"Estadio BBVA, Monterrey, Mexico",22:00:00
13,2026-06-15,Spain,Cabo Verde,Group Stage,Group H,Atlanta,USA,Mercedes-Benz Stadium,"Mercedes-Benz Stadium, Atlanta, USA",12:00:00
14,2026-06-15,Belgium,Egypt,Group Stage,Group G,Seattle,USA,Lumen Field,"Lumen Field, Seattle, USA",15:00:00
15,2026-06-15,Saudi Arabia,Uruguay,Group Stage,Group H,Miami,USA,Hard Rock Stadium,"Hard Rock Stadium, Miami, USA",18:00:00
16,2026-06-15,IR Iran,New Zealand,Group Stage,Group G,Los Angeles,USA,SoFi Stadium,"SoFi Stadium, Los Angeles, USA",21:00:00
17,2026-06-16,France,Senegal,Group Stage,Group I,New York/New Jersey,USA,MetLife Stadium,"MetLife Stadium, New York/New Jersey, USA",15:00:00
18,2026-06-16,Winner FIFA Playoff 2,Norway,Group Stage,Group I,Boston,USA,Gillette Stadium,"Gillette Stadium, Boston, USA",18:00:00
19,2026-06-16,Argentina,Algeria,Group Stage,Group J,Kansas City,USA,Arrowhead Stadium,"Arrowhead Stadium, Kansas City, USA",21:00:00
20,2026-06-17,Austria,Jordan,Group Stage,Group J,San Francisco Bay Area,USA,Levi's Stadium,"Levi's Stadium, San Francisco Bay Area, USA",00:00:00
21,2026-06-17,Portugal,Winner FIFA Playoff 1,Group Stage,Group K,Houston,USA,NRG Stadium,"NRG Stadium, Houston, USA",13:00:00
22,2026-06-17,England,Croatia,Group Stage,Group L,Dallas,USA,AT&T Stadium,"AT&T Stadium, Dallas, USA",16:00:00
23,2026-06-17,Ghana,Panama,Group Stage,Group L,Toronto,Canada,BMO Field,"BMO Field, Toronto, Canada",19:00:00
24,2026-06-17,Uzbekistan,Colombia,Group Stage,Group K,Mexico City,Mexico,Estadio Azteca,"Estadio Azteca, Mexico City, Mexico",22:00:00
25,2026-06-18,Winner UEFA Playoff D,South Africa,Group Stage,Group A,Atlanta,USA,Mercedes-Benz Stadium,"Mercedes-Benz Stadium, Atlanta, USA",12:00:00
26,2026-06-18,Switzerland,Winner UEFA Playoff A,Group Stage,Group B,Los Angeles,USA,SoFi Stadium,"SoFi Stadium, Los Angeles, USA",15:00:00
27,2026-06-18,Canada,Qatar,Group Stage,Group B,Vancouver,Canada,BC Place,"BC Place, Vancouver, Canada",18:00:00
28,2026-06-18,Mexico,South Korea,Group Stage,Group A,Guadalajara,Mexico,Estadio Akron,"Estadio Akron, Guadalajara, Mexico",21:00:00
29,2026-06-19,United States,Australia,Group Stage,Group D,Seattle,USA,Lumen Field,"Lumen Field, Seattle, USA",15:00:00
